Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
ORCL,2017-03-15 20:00:00,0.62,0.69,2017-06-21 20:00:00,0.78,0.89,2017-09-14 20:00:00,0.6,0.62,2017-12-14 21:00:00,0.68,0.7,2018-03-19 20:00:00,0.72,0.83,2018-06-19 00:00:00,0.94,0.99,2018-09-17 00:00:00,0.69,0.71,2018-12-17 00:00:00,0.78,0.8
ORLY,2017-02-07 22:00:00,2.54,2.59,2017-04-26 21:00:00,2.88,2.83,2017-07-26 21:00:00,2.89,3.1,2017-10-25 20:00:00,3.15,3.22,2018-02-07 21:00:00,2.77,2.9,2018-04-25 00:00:00,3.58,3.61,2018-07-25 00:00:00,4.06,4.28,2018-10-24 00:00:00,4.31,4.5
OXY,2017-02-09 13:30:00,-0.02,-0.13,2017-05-04 12:30:00,0.07,0.15,2017-08-02 20:00:00,0.1,0.15,2017-11-01 20:00:00,0.11,0.18,2018-02-13 21:00:00,0.41,0.41,2018-05-08 00:00:00,0.71,0.92,2018-08-08 00:00:00,1.21,1.1,2018-11-05 00:00:00,1.54,1.77
PAYX,2017-06-28 12:30:00,0.53,0.54,2017-10-03 12:30:00,0.6,0.62,2017-12-21 13:30:00,0.59,0.65,2018-03-26 12:30:00,0.63,0.63,2018-06-26 12:30:00,0.62,0.61,2018-06-27 11:00:00,0.62,0.61,2018-10-02 00:00:00,0.65,0.67,2018-12-19 00:00:00,0.63,0.65
PBCT,2017-01-19 00:00:00,0.24,0.24,2017-04-20 12:30:00,0.22,0.22,2017-07-20 20:00:00,0.23,0.19,2017-10-19 20:00:00,0.25,0.26,2018-01-18 21:00:00,0.27,0.31,2018-04-19 00:00:00,0.3,0.3,2018-07-19 00:00:00,0.32,0.31,2018-10-18 00:00:00,0.33,0.33
PCAR,2017-01-31 00:00:00,0.86,0.82,2017-04-25 12:30:00,0.87,0.88,2017-07-25 12:30:00,0.99,1.06,2017-10-24 12:30:00,1.08,1.14,2018-01-30 13:30:00,1.12,1.18,2018-04-24 00:00:00,1.31,1.45,2018-07-24 00:00:00,1.42,1.59,2018-10-23 00:00:00,1.51,1.55
PEG,2017-02-24 13:30:00,0.53,0.54,2017-04-28 12:30:00,0.85,0.92,2017-07-28 12:30:00,0.58,0.62,2017-10-31 12:30:00,0.84,0.82,2018-02-23 13:30:00,0.56,0.57,2018-04-30 00:00:00,0.99,0.97,2018-08-01 00:00:00,0.63,0.64,2018-10-30 00:00:00,0.91,0.95
PEP,2017-02-15 06:30:00,1.16,1.2,2017-04-26 12:30:00,0.92,0.94,2017-07-11 12:30:00,1.4,1.5,2017-10-04 06:00:00,1.44,1.48,2018-02-13 06:00:00,1.3,1.31,2018-04-26 00:00:00,0.93,0.96,2018-07-10 00:00:00,1.52,1.61,2018-10-02 00:00:00,1.57,1.59
PFE,2017-01-31 00:00:00,0.5,0.47,2017-05-02 12:30:00,0.67,0.69,2017-08-01 12:30:00,0.66,0.67,2017-10-31 12:30:00,0.65,0.67,2018-01-30 13:30:00,0.56,0.62,2018-05-01 00:00:00,0.75,0.77,2018-07-31 00:00:00,0.74,0.81,2018-10-30 00:00:00,0.75,0.78
PFG,2017-01-30 00:00:00,1.15,1.27,2017-04-27 16:15:00,1.22,1.27,2017-07-27 20:00:00,1.23,1.31,2017-10-26 16:15:00,1.3,1.28,2018-01-29 21:00:00,1.37,1.19,2018-04-26 00:00:00,1.35,1.4,2018-07-26 00:00:00,1.37,1.35,2018-10-25 00:00:00,1.67,1.67
PG,2017-01-20 00:00:00,1.06,1.08,2017-04-26 12:30:00,0.94,0.96,2017-07-27 12:30:00,0.78,0.85,2017-10-20 12:30:00,1.08,1.09,2018-01-23 13:30:00,1.14,1.19,2018-04-19 00:00:00,0.98,1,2018-07-31 00:00:00,0.9,0.94,2018-10-19 00:00:00,1.09,1.12
PGR,2017-12-13 13:30:00,0.34,0.41,2018-01-24 13:30:00,0.77,0.82,2018-02-14 13:30:00,0.77,0.82,2018-03-01 13:30:00,0.77,0.82,2018-03-14 12:30:00,0.77,0.82,2018-04-17 00:00:00,1.19,1.29,2018-07-17 00:00:00,1.11,1.15,2018-10-16 00:00:00,1.12,1.33
PH,2017-02-02 13:30:00,1.39,1.91,2017-04-27 00:00:00,1.86,2.11,2017-08-03 00:00:00,2.31,2.45,2017-11-02 12:30:00,2.04,2.24,2018-02-01 13:30:00,2.07,2.15,2018-04-26 00:00:00,2.62,2.8,2018-08-02 00:00:00,2.91,3.22,2018-11-01 00:00:00,2.53,2.84
PHM,2017-01-26 00:00:00,0.59,0.83,2017-04-25 12:30:00,0.29,0.28,2017-07-25 12:30:00,0.41,0.32,2017-10-24 12:30:00,0.59,0.58,2018-01-30 13:30:00,0.85,0.88,2018-04-24 00:00:00,0.45,0.59,2018-07-26 00:00:00,0.75,1.12,2018-10-23 00:00:00,0.95,1.01
PKG,2017-01-30 00:00:00,1.15,1.23,2017-04-26 20:00:00,1.23,1.27,2017-07-26 20:00:00,1.47,1.52,2017-10-25 20:00:00,1.68,1.68,2018-01-30 21:00:00,1.51,1.56,2018-04-24 00:00:00,1.53,1.55,2018-07-25 00:00:00,1.97,2.08,2018-10-24 00:00:00,2.15,2.23
PKI,2017-02-02 21:00:00,0.86,0.83,2017-05-04 20:00:00,0.54,0.55,2017-08-03 20:00:00,0.67,0.67,2017-11-02 20:00:00,0.72,0.73,2018-01-25 21:00:00,0.94,0.97,2018-04-30 00:00:00,0.61,0.63,2018-08-01 00:00:00,0.86,0.91,2018-10-31 00:00:00,0.92,0.9
PLD,2017-01-24 00:00:00,0.26,0.82,2017-04-18 00:00:00,0.24,0.38,2017-07-18 12:30:00,,,2017-10-17 00:00:00,0.37,1.63,2018-01-23 10:59:00,0.34,0.55,2018-04-17 00:00:00,0.37,0.68,2018-07-17 00:00:00,0.38,0.62,2018-10-16 00:00:00,0.35,0.6
PM,2017-02-02 13:30:00,1.12,1.1,2017-04-20 12:30:00,1.03,0.98,2017-07-20 12:30:00,1.23,1.14,2017-10-19 07:00:00,1.38,1.27,2018-02-08 13:30:00,1.35,1.32,2018-04-19 00:00:00,0.9,1,2018-07-19 00:00:00,1.23,1.41,2018-10-18 00:00:00,1.28,1.44
PNC,2017-01-13 00:00:00,1.85,1.97,2017-04-13 12:30:00,1.84,1.96,2017-07-14 12:30:00,2.02,2.1,2017-10-13 12:30:00,2.13,2.16,2018-01-12 13:30:00,2.2,2.29,2018-04-13 00:00:00,2.43,2.43,2018-07-13 00:00:00,2.58,2.72,2018-10-12 00:00:00,2.72,2.82
PNR,2017-01-31 00:00:00,0.73,0.78,2017-04-25 12:30:00,0.61,0.65,2017-07-25 12:30:00,1,1,2017-10-24 12:30:00,0.93,0.95,2018-01-30 13:30:00,0.93,0.93,2018-04-19 00:00:00,0.83,0.88,2018-07-25 00:00:00,0.69,0.71,2018-10-23 00:00:00,0.52,0.54
PNW,2017-02-24 13:30:00,0.47,0.47,2017-05-02 00:00:00,0.16,0.21,2017-08-03 00:00:00,1.17,1.49,2017-11-03 00:00:00,2.32,2.46,2018-02-23 00:00:00,0.12,0.19,2018-05-02 00:00:00,0.07,0.03,2018-08-03 00:00:00,1.48,1.48,2018-11-08 00:00:00,2.72,2.8
PPG,2017-01-19 00:00:00,1.18,1.19,2017-04-20 12:30:00,1.32,1.35,2017-07-20 12:30:00,1.82,1.83,2017-10-19 12:30:00,1.52,1.52,2018-01-18 13:30:00,1.18,1.19,2018-04-19 00:00:00,1.39,1.39,2018-07-19 00:00:00,1.88,1.9,2018-10-18 00:00:00,1.45,1.45
PPL,2017-02-01 13:30:00,0.5,0.6,2017-05-04 00:00:00,0.61,0.62,2017-08-03 12:30:00,0.5,0.52,2017-11-01 12:30:00,0.53,0.56,2018-02-22 13:30:00,0.48,0.55,2018-05-03 00:00:00,0.66,0.74,2018-08-07 00:00:00,0.54,0.55,2018-11-01 00:00:00,0.56,0.59
PRGO,2017-08-09 20:00:00,0.93,1.22,2017-08-10 00:00:00,0.93,1.22,2017-11-09 13:30:00,1.11,1.39,2018-02-27 13:30:00,1.25,1.28,2018-03-01 21:00:00,1.25,1.28,2018-05-08 00:00:00,1.14,1.26,2018-08-09 00:00:00,1.19,1.22,2018-11-08 00:00:00,1.01,1.09
